9,0,0,2,0,0
11,0,0,2,0,0
16,0,0,2,0,0
11,0,0,2,0,0
21,0,0,2,0,0
27,0,0,2,0,0
11,0,0,2,0,0
9,0,0,2,0,0
9,0,0,2,0,0
13,0,0,2,0,0
21,1,0,2,0,0
9,0,0,2,0,0
22,1,0,2,0,0
24,1,0,2,0,0
21,1,0,2,0,0
9,0,0,2,0,0
25,1,0,2,0,0
12,0,0,2,0,0
9,0,0,2,0,0
69,1,0,6,0,1
69,3,0,13,0,1
77,3,0,12,0,1
275,1,1,16,0,1
96,1,0,20,0,1
85,3,0,14,0,1
83,3,0,14,0,1
74,2,0,12,0,1
102,4,0,17,0,1
116,3,0,17,0,1
108,6,0,17,0,1
95,5,0,14,0,1
91,3,0,15,0,1
88,3,0,15,0,1
93,4,0,14,0,1
89,3,0,15,0,1
135,1,0,16,0,1
12,0,0,2,0,0
9,0,0,2,0,0
12,0,0,2,0,0
17,0,0,2,0,0
10,0,0,2,0,0
23,1,0,2,0,0
20,0,0,2,0,0
15,1,0,2,0,0
17,0,0,2,0,0
17,0,0,2,0,0
9,0,0,2,0,0
9,0,0,2,0,0
19,1,0,2,0,0
19,0,0,2,0,0
11,0,0,2,0,0
19,0,0,2,0,0
27,1,0,2,0,0
26,0,0,2,0,0
28,1,0,2,0,0
12,0,0,2,0,0
20,0,0,2,0,0
17,0,0,2,0,0
14,0,0,2,0,0
24,1,0,2,0,0
22,1,0,2,0,0
13,0,0,2,0,0
11,0,0,2,0,0
12,0,0,2,0,0
36,0,0,2,0,0
16,0,0,2,0,0
9,0,0,2,0,0
10,0,0,2,0,0
12,0,0,2,0,0
9,0,0,2,0,0
14,0,0,2,0,0
46,0,0,2,0,0
16,0,0,2,0,0
9,0,0,2,0,0
27,1,0,2,0,0
23,1,0,2,0,0
29,1,0,2,0,0
11,0,0,2,0,0
17,0,0,2,0,0
18,0,0,2,0,0
21,1,0,2,0,0
17,0,0,2,0,0
21,1,0,2,0,0
27,2,0,2,0,0
24,1,0,2,0,0
27,1,0,2,0,0
22,1,0,2,0,0
14,0,0,2,0,0
12,0,0,2,0,0
19,0,0,2,0,0
9,0,0,2,0,0
25,1,0,2,0,0
10,0,0,2,0,0
10,0,0,2,0,0
14,0,0,2,0,0
16,0,0,2,0,0
10,0,0,2,0,0
18,0,0,2,0,0
43,0,0,2,0,0
12,0,0,2,0,0
11,0,0,2,0,0
14,0,0,2,0,0
16,0,0,2,0,0
11,0,0,2,0,0
9,0,0,2,0,0
11,0,0,2,0,0
19,0,0,2,0,0
18,0,0,2,0,0
15,0,0,2,0,0
9,0,0,2,0,0
20,0,0,2,0,0
14,0,0,2,0,0
9,0,0,2,0,0
20,0,0,2,0,0
10,0,0,2,0,0
13,0,0,2,0,0
16,0,0,2,0,0
16,0,0,2,0,0
15,0,0,2,0,0
9,0,0,2,0,0
10,0,0,2,0,0
13,0,0,2,0,0
46,0,0,2,0,0
9,0,0,2,0,0
10,0,0,2,0,0
11,0,0,2,0,0
20,1,0,2,0,0
16,0,0,2,0,0
22,1,0,2,0,0
20,1,0,2,0,0
19,1,0,2,0,0
13,0,0,2,0,0
15,0,0,2,0,0
22,1,0,2,0,0
23,0,0,2,0,0
14,0,0,2,0,0
9,0,0,2,0,0
