47,1,0,4,1
83,3,0,8,1
71,1,0,9,1
133,4,0,10,1
127,4,0,10,1
119,4,0,13,1
114,4,0,13,1
54,3,0,4,1
127,2,0,12,1
130,2,0,12,1
115,5,0,6,1
59,2,0,8,1
118,3,0,11,1
119,3,0,11,1
117,3,0,11,1
119,3,0,11,1
99,4,0,8,1
106,4,0,8,1
111,4,0,8,1
105,4,0,8,1
110,4,0,8,1
104,4,0,8,1
109,4,0,8,1
108,4,0,8,1
113,4,0,8,1
74,3,0,8,1
168,3,0,11,1
97,1,0,9,1
69,2,0,8,1
84,4,0,7,1
42,1,0,6,1
118,3,0,10,1
118,3,0,10,1
129,1,0,6,1
111,4,0,6,1
78,2,1,6,1
60,3,0,4,1
100,3,0,3,1
47,1,0,4,1
45,1,0,4,1
49,1,0,5,1
157,0,0,9,1
85,3,0,9,1
73,1,0,10,1
135,4,0,11,1
129,4,0,11,1
121,4,0,14,1
116,4,0,14,1
56,3,0,5,1
129,2,0,13,1
132,2,0,13,1
117,5,0,7,1
61,2,0,9,1
120,3,0,12,1
121,3,0,12,1
119,3,0,12,1
121,3,0,12,1
123,3,0,4,1
101,4,0,9,1
108,4,0,9,1
113,4,0,9,1
107,4,0,9,1
112,4,0,9,1
106,4,0,9,1
111,4,0,9,1
110,4,0,9,1
115,4,0,9,1
76,3,0,9,1
172,1,0,17,1
164,1,0,17,1
175,1,0,17,1
167,1,0,17,1
171,1,0,17,1
163,1,0,17,1
172,1,0,17,1
164,1,0,17,1
180,1,0,17,1
172,1,0,17,1
172,1,0,17,1
164,1,0,17,1
92,4,0,7,1
170,3,0,12,1
120,1,0,13,1
124,1,0,11,1
113,1,0,12,1
131,3,0,4,1
74,1,0,8,1
99,1,0,10,1
71,2,0,9,1
86,4,0,8,1
131,3,0,4,1
220,5,1,18,1
44,1,0,7,1
120,3,0,11,1
120,3,0,11,1
131,1,0,7,1
113,4,0,7,1
80,2,1,7,1
62,3,0,5,1
102,3,0,4,1
83,3,0,8,1
71,1,0,9,1
133,4,0,10,1
127,4,0,10,1
119,4,0,13,1
114,4,0,13,1
54,3,0,4,1
127,2,0,12,1
130,2,0,12,1
